"modelcol","sigma2col","taucol","r2l1col","r2l2col"
"Modelos Nulo",0.658960724574817,0.109620420945477,"",""
"Modelo Individual",0.393267109513967,0.0075686623163851,"0.40320098778616",""
"Modelo Contextual",0.663608747983015,0.00786289518551945,"-0.00705356667682649","0.928271620217274"
