"npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
3,1650.52393377077,1663.93633228212,-822.261966885386,1644.52393377077,NA,NA,NA
11,1288.15586285654,1337.33465739814,-633.077931428268,1266.15586285654,378.368070914237,8,0.0000000000000000000000000000000000000000000000000000000000000000000000000000790359007648818
